5,846879420241857  18,50436082155369
5,9128204051913835  16,555216155913087
5,955645046752567  14,720608062160522
6,0414888767985495  12,535654028712258
6,140336084257003  10,776649742194536
6,28786968113066  8,972422355574793
6,4017863052849515  7,361530984701815
6,535343726707223  6,068156332384845
6,6875305733995685  4,732883390670025
6,792804777441796  5,646151979974192
6,897389788658869  3,1509119563332746
6,833294855919576  4,770353870074885
7,1353208487130875  2,6849739428943877
7,164577316192318  6,977658436531655
7,315126789805154  3,03719550522149
7,3758619075218235  6,88361570610725
7,440646033086271  9,478802181819844
7,499172601067789  11,770453116901749
7,536290164409459  15,215149536356392
7,565008416982308  19,370007136319458
7,604814896732541  18,66579182426696
7,6087292369135415  23,105058010980628
7,647145433322947  27,46504857580804
7,681510089672036  33,24088392447402
7,713902152454261  40,49724356783012
7,752419637365174  44,3917272256101
7,778691106889129  48,57794684216857
7,815343407972534  57,66494688506531
7,902889523600166  59,96643967059592
7,936616305850156  62,578948380140545
8,099824510704524  60,781791515499044
8,128977367208526  62,43338948671228
8,185339556449595  56,937498759414666
8,229624133710434  54,80186522520966
8,284515116947308  53,030644454136755
8,324065927146918  49,194060628783795
8,363819822379648  47,09076232590453
8,418654957232413  44,54508720330319
8,487989396378172  39,802278266047665
8,447113698105365  36,450539634929214
8,532936522254282  43,040480139222524
8,55389824634478  41,383214578466166
8,51262086078549  35,27203968770333
8,561853115298243  39,85465853577848
8,70241810365008  46,27953512051138
8,7647810319542  48,4526221577929
8,70213692254954  43,16718679355557
8,802358518508216  52,805851246066055
8,888976140236451  58,34771480242793
8,850600543634732  56,90338872776595
8,930304269175746  61,136189598881245
8,975767170616795  64,42269509534046
8,925282243938192  62,4981253377149
9,061598841480052  66,97506699160813
9,092255615184655  68,82854699319748
9,13733028455886  70,5977437226771
9,112886274218571  72,18260864770684
9,260600079035658  66,46631877182256
9,288118336075183  64,51860694213175
9,25865055673858  68,19657488173087
9,32531105179346  60,88607782188449
9,399889477546363  51,81806564691093
9,368532252469656  57,93018651178585
9,339630713694138  57,18226128381285
9,398193193053462  54,37647910143466
9,553904208998548  43,46919885755875
9,542081106083037  45,72543916720885
9,501591027605258  52,69494833651291
9,539574577415365  50,8518213368075
9,546130113930815  39,71008899132142
9,645330806201375  36,78413585420273
9,685955851607414  34,99537583303008
9,755058918876156  33,20106524927495
9,785144274157222  30,907410062157894
9,753979183450085  29,984120507702656
9,913301507399773  25,485702943219806
10,008239461203022  24,017095354857204
10,06797577242973  22,29445041583122
12,12939712081316  35,00843598028297
12,243232084304974  38,07043689083322
12,374517826674793  40,649799088795376
12,374651310449998  38,58845281548544
12,447102992403924  43,106084599841665
12,583863346486169  44,38909205124179
12,82967302808636  44,74172198758313
12,944417411594777  47,01745478040924
13,041648005214856  48,74485230815551
13,1083572404537  47,26192707931292
13,149747098453208  48,42197545295149
13,257209955386124  42,939205208759596
13,319246944218806  40,704302635136344
13,396230451186694  36,14582115721801
13,349629827328881  38,49170092116654
13,397315006860204  32,18349320474306
13,50792856191049  35,35049871227545
13,568252549599539  28,809567688173814
13,514157804753225  34,59358424401486
13,58299093816545  27,593455065605298
13,634008437047454  25,682305551048316
13,73977751982663  22,92895213729878
13,784184741911934  21,057125738378033
13,813784385488795  19,83787738930249
13,945208431881255  16,75315901271462
14,056309573499291  15,115940652094096
14,194652349492683  20,807782780660276
14,250911967422374  26,15544348590865
14,194391123179924  16,517901449476284
14,20248913887548  24,982852353803906
14,310827456964672  28,931792394712673
14,342130531479333  32,29503580282211
14,381060767033894  36,996414955789916
14,427538644833373  40,239582633815424
14,348253421395487  38,60381769460649
14,348253421395487  27,91447129009849
14,449478617589936  42,330569125414904
14,48187068037216  46,21600134534587
14,573841001485974  48,327883859857884
14,67255966901275  50,21018215556056
14,700517104152171  51,816845494745436
14,850965533005878  48,777175305573195
14,884853514064167  50,14324625343229
14,93683192581339  46,137409988641764
14,967751622105515  44,76625166789806
15,013447567816153  35,62083616239302
15,039656416643643  40,9482863191101
15,008864624867572  42,55129152355755
15,105417888929967  32,907442409271866
15,19854506942886  31,556523824752176
15,141858959559968  30,30678296924451
15,299473996756397  24,776738121692404
15,386668203279468  22,6346851542864
15,478345473806344  20,7818824727442
15,469828595229984  19,608985881219922
15,53608508728453  17,666376277802883
15,567257846567141  15,729173845979957
15,72388543309693  13,46631672970679
15,882827395703337  12,23413938156503
